Year,Timestep,EcoregionName,EcoregionIndex,ppt,min_airtemp,max_airtemp,std_ppt,std_temp,winddirection,windspeed,ndeposition,co2,relativehumidity,min_relativehumidity,max_relativehumidity,specifichumidty,pet,par,ozone,shortwave,temperature,FWI,
1904, 2, 102, 1, 3.43, -17.93, -1.62, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1904, 3, 102, 1, 6.38, -5.19, 9.03, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1904, 4, 102, 1, 2.74, 3.88, 16.86, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1904, 5, 102, 1, 4.38, 11.51, 27.4, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1904, 6, 102, 1, 8.95, 17.46, 31.95, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1904, 7, 102, 1, 10.69, 18.2, 33.27, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1904, 8, 102, 1, 6.57, 17.73, 33.06, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1904, 9, 102, 1, 10.11, 13.83, 26.88, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1904, 10, 102, 1, 8.14, 10.02, 20.73, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1904, 11, 102, 1, 1.76, 3.33, 15.85, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1904, 12, 102, 1, 4.33, -9.62, 3.45, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1905, 1, 101, 0, 2.19, -14.82, 0.16, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1905, 2, 101, 0, 1.52, -13.09, 3.03, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1905, 3, 101, 0, 3.74, -0.04, 12.96, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1905, 4, 101, 0, 8.1, 5.24, 19.22, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1905, 5, 101, 0, 9.49, 10.69, 25.99, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1905, 6, 101, 0, 19.48, 17.13, 31.08, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1905, 7, 101, 0, 15.41, 20.64, 34.11, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1905, 8, 101, 0, 9.65, 20.37, 34.44, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1905, 9, 101, 0, 13.45, 16.84, 29.78, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1905, 10, 101, 0, 6.8, 8.45, 19.3, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1905, 11, 101, 0, 6, 1.71, 12.7, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1905, 12, 101, 0, 1.39, -5.78, 7.03, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1905, 1, 102, 1, 2.19, -14.82, 0.16, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1905, 2, 102, 1, 1.52, -13.09, 3.03, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1905, 3, 102, 1, 3.74, -0.04, 12.96, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1905, 4, 102, 1, 8.1, 5.24, 19.22, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1905, 5, 102, 1, 9.49, 10.69, 25.99, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1905, 6, 102, 1, 19.48, 17.13, 31.08, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1905, 7, 102, 1, 15.41, 20.64, 34.11, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1905, 8, 102, 1, 9.65, 20.37, 34.44, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1905, 9, 102, 1, 13.45, 16.84, 29.78, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1905, 10, 102, 1, 6.8, 8.45, 19.3, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1905, 11, 102, 1, 6, 1.71, 12.7, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1905, 12, 102, 1, 1.39, -5.78, 7.03, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1906, 1, 101, 0, 3.21, -7.79, 6.02, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
1906, 2, 101, 0, 1.2, -12.49, 4.27, 0, 0, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, -99, 0, 
