Time,ManagementArea,Prescription,Stand,EventID,StandAge,StandRank,NumberOfSites,HarvestedSites,MgBiomassRemoved,MgBioRemovedPerDamagedHa,TotalCohortsPartialHarvest,TotalCohortsCompleteHarvest,CohortsHarvested_abiebals,CohortsHarvested_acerrubr,CohortsHarvested_acersacc,CohortsHarvested_betualle,CohortsHarvested_betupapy,CohortsHarvested_fraxamer,CohortsHarvested_piceglau,CohortsHarvested_pinubank,CohortsHarvested_pinuresi,CohortsHarvested_pinustro,CohortsHarvested_poputrem,CohortsHarvested_querelli,CohortsHarvested_querrubr,CohortsHarvested_thujocci,CohortsHarvested_tiliamer,BiomassHarvestedMg_abiebals,BiomassHarvestedMg_acerrubr,BiomassHarvestedMg_acersacc,BiomassHarvestedMg_betualle,BiomassHarvestedMg_betupapy,BiomassHarvestedMg_fraxamer,BiomassHarvestedMg_piceglau,BiomassHarvestedMg_pinubank,BiomassHarvestedMg_pinuresi,BiomassHarvestedMg_pinustro,BiomassHarvestedMg_poputrem,BiomassHarvestedMg_querelli,BiomassHarvestedMg_querrubr,BiomassHarvestedMg_thujocci,BiomassHarvestedMg_tiliamer,
25, 1, SelectiveNorthernHardwood, 25, 40, 194, 1573, 19, 2, 28.54, 14.27, 18, 0, 0, 4, 2, 5, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.39, 1.06, 8.85, 0, 12.24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 30, 24, 202, 3996, 123, 13, 259.79, 19.9838, 108, 0, 0, 25, 23, 26, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50.2, 30.82, 90.42, 0, 88.35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 34, 16, 292, 4735, 222, 21, 165.3, 7.8714, 155, 0, 0, 24, 50, 34, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12.49, 50.63, 45.1, 0, 57.08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 31, 57, 102, 297, 69, 4, 61.44, 15.36, 19, 0, 0, 7, 0, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21.09, 0, 19.29, 0, 21.06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 32, 72, 109, 19, 79, 1, 3.26, 3.26, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 33, 38, 158, 1839, 58, 6, 118.44, 19.74, 42, 0, 0, 11, 9, 10, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27.64, 12.91, 39.21, 0, 38.68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 42, 34, 206, 2364, 190, 13, 190.29, 14.6377, 109, 0, 0, 21, 32, 23, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.87, 38.51, 58.37, 0, 62.54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 36, 44, 129, 965, 113, 10, 173.91, 17.391, 60, 0, 0, 14, 10, 17, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35.97, 15.24, 63.45, 0, 59.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 35, 75, 82, 10, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 38, 9, 251, 6063, 73, 8, 141.85, 17.7313, 80, 0, 0, 14, 24, 17, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17.44, 29.04, 47.47, 0, 47.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 40, 25, 171, 3412, 65, 7, 173.74, 24.82, 60, 0, 0, 14, 12, 14, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32.15, 19.26, 62.71, 0, 59.62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 37, 69, 94, 29, 78, 2, 21.06, 10.53, 7, 0, 0, 2, 0, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.97, 0, 6.43, 0, 8.66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 39, 23, 194, 4158, 47, 5, 106.48, 21.296, 59, 0, 0, 10, 20, 12, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12.9, 24.8, 34.59, 0, 34.19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 41, 30, 166, 2906, 105, 9, 162.37, 18.0411, 66, 0, 0, 15, 15, 15, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31.61, 21.09, 55.17, 0, 54.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
